,corning_gln,gibco_base,gibco_fresh_gln,gibco_gmax,gibco_gmax_fresh
corning_gln,1.0,5.769612169107234e-11,2.2184196399265215e-06,0.14634643825733054,3.5900695935092026e-06
gibco_base,5.769612169107234e-11,1.0,0.14634643825733054,2.0070586038914375e-06,0.14634643825733054
gibco_fresh_gln,2.2184196399265215e-06,0.14634643825733054,1.0,0.005966199936042093,0.8995905082385716
gibco_gmax,0.14634643825733054,2.0070586038914375e-06,0.005966199936042093,1.0,0.0077292101099711765
gibco_gmax_fresh,3.5900695935092026e-06,0.14634643825733054,0.8995905082385716,0.0077292101099711765,1.0
